序号，件号，条件，数量
1,363A5320P2,new,1
2,7304-01-02,sv,1
3,066-50008-0406,sv,1
4,066-50008-0409,sv,1
5,813270-4,new,1
6,5145-160,new,1
7,7V11SPF30X2B29,new,2
8,362A5835P3,new,10
9,906-10090-003,new,10
10,104-5040-092,new,40
11,PTN1206K2000JB,new,50
12,MS90452-6833,new,30
13,800-004-955-018,new,5
14,3600-6970-01,new,1
15,3600-5755-01,new,1
16,233A7203-12,sv,1
17,42-757-1,sv,1
18,42-76717,new,1
19,14320-153,new,1
20,1095613-1,new,1
21,01003010,new,1
22,4197-20-02,sv,1
23,835-5816-010,new,1
24,352-1869-010,new,1
25,A1236627,new,5
26,69002178-001,new,1
27,17504-0001,new,1
28,17473-0001,new,1
29,1310463-001,new,1
30,442-1840-001,new,1
31,600-6137-001,new,1
32,664700500A4D,sv,1
33,313DL74HC4514MN,new,1
34,313RVAP117MH,new,2
35,23007,new,2
36,304313-1,sv,1
37,86625317,new,1
38,5909780,sv,1
39,685-2307-004,new,1
40,685-2308-004,new,1
41,2982560705,new,1
42,9615325060,sv,1
